id	name	trl	mrl
24	COMPACT	7	5
29	CS-AWARE	7	6
52	GHOST	7	6
55	HERMENEUT	6	5
57	IMPACT	1	0
71	MUSA	4	5
110	SafeCloud	7	7
116	SCOTT	7	6
124	SMESEC	7	6
131	STOP-IT	7	7
133	SUNFISH	6	4
145	VisiOn	7	4
148	FENTEC	3	4
155	Cyber-Trust	6	4
160	SealedGRID	3	3
162	ASTRID	3	2
163	BPR4GDPR	3	4
164	PAPAYA	3	4
165	POSEIDON	6	5
168	DEFeND	3	4
170	OLYMPUS	3	2
171	THREAT-ARREST	6	6
175	CyberSec4Europe	3	5
176	ECHO	6	5
185	PANACEA	3	3
188	SecureIoT	7	6
217	CUREX	2	1
222	RESISTO	7	3
223	SECREDAS	6	5
231	SECONDO	1	2
238	GUARD	2	3
239	InfraStress	6	5
244	SPIDER	1	1
245	EnergyShield	3	5
248	CyberSANE	1	2
249	Cyber-MAR	3	2
253	CARAMEL	6	5
259	UP2DATE	1	2
261	SAPPAN	3	3
261	KRAKEN	3	1
