#	Project	RCN	Call	Type	Start	End	Budget	Title	Teaser	Project URL	Funding Body link	Project URL (NEW WEBSITE)
1	AARC2	206338	EINFRA-22-2016	RIA	May  2017	Apr  2019	€2,999,893	Authentication and Authorisation For Research and Collaboration	The goal of AARC2 is to design an AAI framework to develop interoperable  AAI, to enable researchers to access the whole research and infrastructure  service portfolio with one login. AARC2's objectives are:1. enable  federated access in research communities participating in...	https://aarc-project.eu/	http://cordis.europa.eu/project/rcn/206338_en.html	https://cyberwatching.eu/projects/929/aarc-2
2	ABC4Trust	97048	ICT-2009.1.4	CP	Nov  2010	Feb  2015	€13,063,511	Attribute-based Credentials for Trust	The number of transactions performed electronically is rising fast. Every  day people use the Internet for purposes ranging from accessing information  to electronic commerce and e-banking, to interactions with government  bodies. As securing these transactions requires strong a...	https://abc4trust.eu/	cordis.europa.eu/project/rcn/97048_en.html	https://cyberwatching.eu/projects/930/abc4trust
3	ADDPRIV	98125	SEC-2010.6.5-2	CP	Feb  2011	Mar  2014	€4,087,801	Automatic Data relevancy Discrimination for a PRIVacy-sensitive video  surveillance	ADDPRIV proposes novel knowledge and developments to limit the storage of  unnecessary data, to be implemented on existing multicamera networks in  order to make them better comply with citizen´s privacy rights. ADDPRIV  tackles the challenge of determining in a precise and reli...	http://www.addpriv.eu/	http://cordis.europa.eu/project/rcn/98125_en.html	https://cyberwatching.eu/projects/931/addpriv
4	AEGIS	210218	DS-05-2016	CSA	May  2017	Apr  2019	€744,263	Accelerating EU-US DialoGue for Research and Innovation in CyberSecurity  and Privacy	AEGIS aims to strengthen dialogues between Europe and the US, in order to  facilitate exchange of views, policies and best practices to stimulate  cooperation around cybersecurity and privacy R&I, and contribute in shaping  the future global cybersecurity and privacy...	http://aegis-project.org/	http://cordis.europa.eu/project/rcn/210218_it.html	https://cyberwatching.eu/projects/932/aegis
5	ANASTACIA	207199	DS-01-2016	RIA	Jan  2017	Dec  2019	€5,420,209	Advanced Networked Agents for Security and Trust Assessment in CPS/IOT  Architectures	The main objective of the ANASTACIA is to address the constant discovery of  vulnerabilities in ICT components providing assurance that ICT systems are  secure and trustworthy by design. To this end, ANASTACIA will research and  develop a holistic security framework, which will...	http://www.anastacia-h2020.eu/	http://cordis.europa.eu/project/rcn/207199_en.html	https://cyberwatching.eu/projects/934/anastacia
6	ARIES	202675	FCT-09-2015	RIA	Sep  2016	Feb  2019	€2,247,003	reliAble euRopean Identity EcoSystem	ARIES main goal is to deliver a comprehensive framework for reliable  e-identity ecosystem comprising new technologies, processes and security  features that ensure highest levels of quality in eID based on trustworthy  security documents and biometrics for highly secure and...	http://aries-project.eu/	http://cordis.europa.eu/project/rcn/202675_en.html	https://cyberwatching.eu/projects/935/aries
7	ARMOUR	199076	ICT-12-2015	RIA	Feb  2016	Jan  2018	€1,999,559	Large-Scale Experiments of IoT Security Trust	The Internet-of-Things (IoT) is rapidly heading for large scale meaning  that all mechanisms and features for the future IoT need to be especially  designed and duly tested/certified for large-scale conditions. Also,  Security, Privacy and Trust are critical elements of the IoT...	http://www.armour-project.eu/	http://cordis.europa.eu/project/rcn/199076_en.html	https://cyberwatching.eu/projects/937/armour
8	ASAP	105356	ERC-AG-PE6	ERC-AG	Oct  2012	Sep  2018	€2,499,041	Adaptive Security and Privacy	With the prevalence of mobile computing devices and the increasing  availability of pervasive services, ubiquitous computing (Ubicomp) is a  reality for many people. This reality is generating opportunities for  people to interact socially in new and richer ways, and to work mor...		http://cordis.europa.eu/project/rcn/105356_en.html	
9	ATENA	202699	DS-03-2015	IA	May  2016	Apr  2019	€8,111,938	Advanced Tools to assEss and mitigate the criticality of ICT compoNents and  their dependencies over Critical InfrAstructures	Over recent years, Industrial and Automation Control Systems (IACS) adopted  in Critical Infrastructures (CIs) have become more complex due to the  increasing number of interconnected devices, and to the large amount of  information exchanged among system components. With the...	https://www.atena-h2020.eu	http://cordis.europa.eu/project/rcn/202699_en.html	https://cyberwatching.eu/projects/939/atena
10	BEACON	194143	ICT-07-2014	RIA	Feb  2015	Jul  2017	€3,570,250	Enabling Federated Cloud Networking	Cloud federation enables cloud providers to collaborate and share their  resources to create a large virtual pool of resources at multiple network  locations. Different types of federation architectures for clouds and  datacenters have been proposed and implemented (e.g. cloud...	http://www.beacon-project.eu/	http://cordis.europa.eu/project/rcn/194143_en.html	https://cyberwatching.eu/projects/940/beacon
11	BIOSEC	90991	FP7-PEOPLE-IOF-2008	MC-IOF	Mar  2009	Feb  2012	€214,655	BIOSEC: Security and Privacy in Life Sciences Data	Nowadays, there are over a thousand different life science databases with  hundreds of gigabytes of content ranging from gene-property data for  different organisms to brain image data. Such databases are distributed  over the web and have high degrees of heterogeneity and diffe...		http://cordis.europa.eu/project/rcn/90991_en.html	
12	C3ISP	202687	DS-04-2015	IA	Oct  2016	Sep  2019	€5,000,045	Collaborative and Confidential Information Sharing and Analysis for Cyber  Protection	C3ISP mission is to define a collaborative and confidential information  sharing, analysis and protection framework as a service for cyber security  management. C3ISP innovation is the possibility to share information in a  flexible and controllable manner inside a collaborative...	http://www.c3isp.eu	http://cordis.europa.eu/project/rcn/202687_en.html	https://cyberwatching.eu/projects/942/c3isp
13	CANVAS	202697	DS-07-2015	CSA	Sep  2016	Aug  2019	€1,569,125	Constructing an Alliance for Value-driven Cybersecurity	The growing complexity of the digital ecosystem in combination with  increasing global risks entail the danger that enforcing cybersecurity may  bypass other fundamental values like equality, fairness or privacy, whereas  downplaying cybersecurity would undermine citizens’...	https://canvas-project.eu/canvas/	http://cordis.europa.eu/project/rcn/202697_en.html	https://cyberwatching.eu/projects/1267/canvas
14	certMILS	207195	DS-01-2016	IA	Jan  2017	Dec  2020	€5,616,544	Compositional security certification for medium- to high-assurance  COTS-based systems in environments with emerging threats	certMILS develops a security certification methodology for Cyber-physical  systems (CPS). CPS are characterised by safety-critical nature, complexity,  connectivity, and open technology. A common downside to CPS complexity and  openness is a large attack surface and a high degree...	https://certmils.eu/	http://cordis.europa.eu/project/rcn/207195_en.html	https://cyberwatching.eu/projects/945/certmils
15	CHOReVOLUTION	194161	ICT-09-2014	RIA	Jan  2015	Dec  2017	€3,057,549	Automated Synthesis of Dynamic and Secured Choreographies for the Future  internet	The Future Internet (FI) represents an age of unprecedented opportunities  for social, economic, and business growth thanks to the global scale  connectivity of the virtual as well as of the physical world. This indeed  opens up a wealth of innovative and revolutionary real-life...	http://www.chorevolution.eu/bin/view/Main/#	http://cordis.europa.eu/project/rcn/194161_en.html	https://cyberwatching.eu/projects/946/chorevolution
16	CIPSEC	202692	DS-03-2015	IA	May  2016	Apr  2019	€7,017,235	Enhancing Critical Infrastructure Protection with innovative SECurity  framework	In recent years, the majority of the world's Critical Infrastructures CIs  evolved to become more flexible, cost efficient and able to offer better  services and conditions for business opportunities. Towards this evolution,  CIs and companies offering CI services had to adopt...	http://www.cipsec.eu	http://cordis.europa.eu/project/rcn/202692_en.html	https://cyberwatching.eu/projects/947/cipsec
17	CITADEL	202704	DS-03-2015	IA	Jun  2016	May  2019	€6,065,267	Critical Infrastructure Protection using Adaptive MILS	Critical infrastructures (CI) rely on complex safety- and security-critical  ICT systems placed into unpredictable environments and forced to cope with  unexpected events and threats while exhibiting safe adaptive behavior.  Recent security trends stress continuous adaptation to...	http://www.citadel-project.org	http://cordis.europa.eu/project/rcn/202704_en.html	https://cyberwatching.eu/projects/948/citadel
