cw_id	name	segment
1	AARC2	Secure Systems
2	ABC4Trust	Secure Systems
3	ADDPRIV	Verification & Assurance
4	AEGIS	Cybersecurity Governance
5	ANASTACIA	Verification & Assurance
6	ARIES	Secure Systems
7	ARMOUR	Secure Systems
8	ASAP	Human Aspects
9	ATENA	Operational Risk
10	BEACON	Operational Risk
11	BIOSEC	Verification & Assurance
12	C3ISP	Operational Risk
13	CANVAS	Cybersecurity Governance
14	certMILS	Cybersecurity Governance
15	CHOReVOLUTION	Secure Systems
16	CIPSEC	Secure Systems
17	CITADEL	Secure Systems
18	CLARUS	Secure Systems
19	CloudSocket	Secure Systems
20	CloudTeam	
21	COCKPITCI	Operational Risk
22	COEMS	Secure Systems
23	COLA	
24	COMPACT	Cybersecurity Governance
25	CONSENT	Human Aspects
26	CREDENTIAL	Identity & Privacy
27	CROSSMINER	
28	CryptoCloud	Identity & Privacy
29	CS-AWARE	Cybersecurity Governance
30	CYBECO	Verification & Assurance
31	CyberWiz	Secure Systems
32	CYCLONE	Secure Systems
33	CYRail	Operational Risk
34	DAPPER	Identity & Privacy
35	DECODE	Human Aspects
36	DEFENDER	Operational Risk
37	DISCOVERY	Cybersecurity Governance
38	DiSIEM	Operational Risk
39	DITAS	
40	DOGANA	Human Aspects
41	DSSC	
42	e-Sides	Identity & Privacy
43	ECRYPT-CSA	Verification & Assurance
44	ECRYPT-NET	
45	ENCASE	Secure Systems
46	EU-SEC	Cybersecurity Governance
47	EUNITY	Cybersecurity Governance
48	FIDELITY	
49	FORTIKA	
50	FutureTrust	Secure Systems
51	GenoPri	Identity & Privacy
52	GHOST	Human Aspects
53	HEAT	Secure Systems
54	HECTOR	Verification & Assurance
55	HERMENEUT	Operational Risk
56	HIPS	Secure Systems
57	IMPACT	Operational Risk
58	KONFIDO	Secure Systems
59	LAST	Identity & Privacy
60	LIGHTest	Secure Systems
61	LV-Pri20	Identity & Privacy
62	MAMI	Human Aspects
63	MAPPING	Human Aspects
64	MAS2TERING	Secure Systems
65	MATTHEW	Secure Systems
66	MELODIC	
67	mF2C	Secure Systems
68	MH-MD	Secure Systems
69	MIKELANGELO	Secure Systems
70	MITIGATE	Secure Systems
71	MUSA	Secure Systems
72	NECOMA	Operational Risk
73	NeCS	Identity & Privacy
74	OCGN	Operational Risk
75	OCTAVE	Secure Systems
76	OPENREQ	
77	OPERANDO	Secure Systems
78	P5	
79	PaaSword	Secure Systems
80	PACT	Human Aspects
81	PANORAMIX	Secure Systems
82	PARIS	Human Aspects
83	PASS	Identity & Privacy
84	PATS	Human Aspects
85	PICOS	Human Aspects
86	PQCRYPTO	Human Aspects
87	PRACTIS	Human Aspects
88	PRECIOSA	Verification & Assurance
89	PRESCIENT	Cybersecurity Governance
90	PreserviX	Secure Systems
91	PrEstoCloud	Human Aspects
92	PrimeLife	Identity & Privacy
93	PRIPARE	
94	PRISM	Human Aspects
95	PRISM CODE	Secure Systems
